MatchID,PlayerID,Min,Shot Stopping_SoTA,Shot Stopping_GA,Shot Stopping_Saves,Shot Stopping_Save%,Fixture,Shot Stopping_PSxG,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist
cedacb3099,76b1ac87aa,90,2.0,1.0,1.0,50.0,Home,0.4,4.0,8.0,50.0,25.0,7.0,20.0,31.7,6.0,50.0,43.3,2.0,1.0,50.0,3.0,18.3
cedacb3099,1c75af77ad,90,6.0,0.0,6.0,100.0,Away,1.1,7.0,34.0,20.6,23.0,2.0,87.0,61.0,14.0,100.0,71.8,30.0,1.0,3.3,0.0,9.7
b1f954ba44,1c75af77ad,90,7.0,3.0,4.0,57.1,Home,1.4,3.0,11.0,27.3,24.0,6.0,41.7,37.3,3.0,33.3,42.3,13.0,2.0,15.4,0.0,13.2
b1f954ba44,485fc897ab,90,1.0,1.0,1.0,0.0,Away,0.1,7.0,22.0,31.8,25.0,3.0,56.0,42.1,12.0,66.7,51.6,14.0,0.0,0.0,2.0,31.0
d2f70f003c,05b83e9b5c,90,6.0,2.0,4.0,66.7,Home,2.2,5.0,16.0,31.3,17.0,3.0,35.3,35.9,13.0,76.9,51.1,12.0,0.0,0.0,1.0,21.8
d2f70f003c,0822580951,90,3.0,1.0,2.0,66.7,Away,0.7,3.0,3.0,100.0,59.0,7.0,3.4,22.0,7.0,14.3,27.7,9.0,0.0,0.0,2.0,25.0
d26f549313,0fec660c3c,90,4.0,3.0,1.0,25.0,Home,1.5,4.0,10.0,40.0,20.0,9.0,20.0,31.4,9.0,66.7,43.3,9.0,0.0,0.0,3.0,24.7
d26f549313,f333b64ff0,90,2.0,0.0,2.0,100.0,Away,0.1,7.0,19.0,36.8,33.0,5.0,45.5,44.0,5.0,80.0,53.2,17.0,2.0,11.8,0.0,10.0
570578149e,865a4662b9,90,4.0,3.0,1.0,25.0,Home,2.4,2.0,5.0,40.0,18.0,2.0,27.8,29.6,9.0,0.0,22.4,11.0,1.0,9.1,1.0,12.3
570578149e,56c226268f,90,4.0,1.0,3.0,75.0,Away,1.2,4.0,26.0,15.4,29.0,0.0,62.1,49.0,8.0,100.0,72.6,20.0,1.0,5.0,0.0,9.0
b83f7e320a,05b83e9b5c,90,2.0,1.0,1.0,50.0,Home,0.6,15.0,28.0,53.6,19.0,2.0,68.4,44.6,17.0,88.2,46.7,11.0,1.0,9.1,0.0,11.5
b83f7e320a,8ab854fea9,90,2.0,2.0,0.0,0.0,Away,1.1,3.0,7.0,42.9,14.0,2.0,21.4,27.4,6.0,66.7,44.7,8.0,1.0,12.5,1.0,14.3
17a20e151d,49353e30af,90,5.0,2.0,3.0,60.0,Home,0.4,15.0,30.0,50.0,27.0,2.0,77.8,45.7,10.0,90.0,54.3,19.0,0.0,0.0,0.0,8.0
17a20e151d,76b1ac87aa,90,5.0,1.0,4.0,100.0,Away,1.8,5.0,23.0,21.7,27.0,4.0,74.1,48.1,3.0,100.0,52.3,15.0,2.0,13.3,0.0,8.9
4a4ba1ec69,63fe110f05,90,4.0,0.0,4.0,100.0,Home,0.5,12.0,24.0,50.0,19.0,2.0,57.9,41.4,17.0,76.5,52.1,12.0,0.0,0.0,0.0,8.5
4a4ba1ec69,0fec660c3c,90,7.0,1.0,6.0,85.7,Away,1.0,7.0,15.0,46.7,31.0,8.0,45.2,42.1,4.0,25.0,28.3,16.0,3.0,18.8,0.0,9.6
39de62056b,cc4c147af7,81,5.0,4.0,1.0,20.0,Home,3.5,6.0,21.0,28.6,36.0,8.0,38.9,35.4,7.0,100.0,58.7,10.0,1.0,10.0,2.0,15.1
39de62056b,40aff79fe4,8,1.0,1.0,0.0,100.0,Home,1.0,0.0,1.0,0.0,1.0,0.0,100.0,64.0,0.0,,,1.0,0.0,0.0,0.0,
39de62056b,36ad9740f9,90,1.0,0.0,1.0,100.0,Away,0.2,3.0,3.0,100.0,31.0,7.0,9.7,28.3,0.0,,,7.0,0.0,0.0,1.0,14.3
03dc7d2a9a,f333b64ff0,90,4.0,2.0,2.0,50.0,Home,1.6,15.0,28.0,53.6,44.0,8.0,52.3,43.2,7.0,71.4,54.7,7.0,1.0,14.3,3.0,23.0
03dc7d2a9a,76b1ac87aa,90,5.0,3.0,3.0,40.0,Away,1.0,10.0,25.0,40.0,17.0,2.0,82.4,53.1,11.0,100.0,64.4,15.0,1.0,6.7,0.0,6.5
9ca28cf74e,f3ce6bc634,90,3.0,1.0,2.0,66.7,Home,1.3,4.0,8.0,50.0,15.0,1.0,40.0,37.1,5.0,40.0,41.0,19.0,0.0,0.0,1.0,18.5
