TeamID,Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
e8d2adc4,2019-2020,vs Cercle Brugge,36,25.7,52.0,29,319.0,2610.0,29.0,52.0,40.0,92.0,49.0,3.0,4.0,45.0,1.0,40.4,37.2,32.3,69.5,490.0,1205.0
140e320a,2019-2020,vs Charleroi,23,25.5,54.3,29,319.0,2610.0,29.0,23.0,15.0,38.0,20.0,3.0,6.0,59.0,2.0,29.6,25.1,19.2,44.3,427.0,1225.0
f1e6c5f1,2019-2020,vs Club Brugge,28,25.4,40.2,29,319.0,2610.0,29.0,13.0,7.0,20.0,11.0,2.0,2.0,67.0,3.0,24.2,22.7,18.5,41.1,394.0,850.0
5809ddc3,2019-2020,vs Eupen,30,25.4,53.8,29,319.0,2610.0,29.0,50.0,38.0,88.0,46.0,4.0,5.0,45.0,4.0,46.2,42.3,31.7,74.0,560.0,1436.0
f780fd06,2019-2020,vs Excel Mouscron,31,25.7,51.1,29,319.0,2610.0,29.0,40.0,28.0,68.0,38.0,2.0,3.0,44.0,3.0,44.7,42.3,34.1,76.4,436.0,1203.0
1e972a99,2019-2020,vs Genk,30,25.8,46.3,29,319.0,2610.0,29.0,41.0,30.0,71.0,40.0,1.0,1.0,58.0,2.0,35.0,34.2,27.5,61.7,470.0,1067.0
51e5a603,2019-2020,vs Gent,28,25.6,43.5,29,319.0,2610.0,29.0,34.0,21.0,55.0,30.0,4.0,5.0,62.0,1.0,33.9,30.0,24.2,54.2,506.0,1037.0
77193015,2019-2020,vs Kortrijk,29,25.5,49.2,29,319.0,2610.0,29.0,44.0,28.0,72.0,34.0,10.0,11.0,52.0,3.0,52.1,43.6,36.8,80.4,551.0,1170.0
09f00144,2019-2020,vs Mechelen,23,25.6,52.3,29,319.0,2610.0,29.0,43.0,35.0,78.0,42.0,1.0,4.0,54.0,1.0,40.8,37.7,29.9,67.5,510.0,1257.0
95b895fe,2019-2020,vs Oostende,28,25.6,59.1,29,319.0,2610.0,29.0,57.0,40.0,97.0,54.0,3.0,4.0,32.0,4.0,48.5,45.5,35.7,81.2,637.0,1513.0
80328a1e,2019-2020,vs Sint-Truiden,31,25.7,47.7,29,319.0,2610.0,29.0,49.0,26.0,75.0,42.0,7.0,7.0,50.0,2.0,56.4,51.0,41.4,92.5,606.0,1251.0
33c6b26e,2019-2020,vs Standard Liège,28,25.6,49.7,29,319.0,2610.0,29.0,30.0,21.0,51.0,28.0,2.0,2.0,68.0,6.0,31.9,30.4,20.4,50.8,523.0,1050.0
0217e4d8,2019-2020,vs Waas-Beveren,30,25.9,56.2,29,319.0,2610.0,29.0,58.0,41.0,99.0,52.0,6.0,6.0,41.0,1.0,50.6,45.9,37.4,83.3,546.0,1477.0
